,2017,2018,2019,2020,2021,2022
Ene,242.839,247.866,251.711,257.971,261.581,281.148
Feb,243.603,248.991,252.776,258.678,263.014,0
Mar,243.800,249.554,254.202,258.115,264.877,0
Abr,244.524,250.545,255.548,256.389,267.053,0
May,244.733,251.587,256.091,256.394,269.194,0
Jun,244.955,251.989,256.142,257.797,271.696,0
Jul,244.786,252.006,256.571,259.101,273.002,0
Ago,245.519,252.145,256.557,259.918,273.567,0
Sep,246.818,252.438,256.759,260.277,274.31,0
Oct,246.663,252.884,257.346,260.387,276.589,0
Nov,246.669,252.038,257.208,260.228,277.947,0
Dic,246.524,251.233,256.973,260.473,278.802,0
