,2017,2018,2019,2020,2021,2022
Ene,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Feb,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Mar,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Abr,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
May,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Jun,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Jul,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Ago,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Sep,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Oct,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Nov,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
Dic,0.011299999999999999%,0.0147%,0.0147%,0.0147%,0.0147%,0.0147%
