,2017,2018,2019,2020,2021,2022
Ene,242.839,247.867,251.712,257.971,261.582,281.148
Feb,243.603,248.991,252.776,258.678,263.014,0
Mar,243.801,249.554,254.202,258.115,264.877,0
Abr,244.524,250.546,255.548,256.389,267.054,0
May,244.733,251.588,256.092,256.394,269.195,0
Jun,244.955,251.989,256.143,257.797,271.696,0
Jul,244.786,252.006,256.571,259.101,273.003,0
Ago,245.519,252.146,256.558,259.918,273.567,0
Sep,246.819,252.439,256.759,260.28,274.31,0
Oct,246.663,252.885,257.346,260.388,276.589,0
Nov,246.669,252.038,257.208,260.229,277.948,0
Dic,246.524,251.233,256.974,260.474,278.802,0
