,2017,2018,2019,2020,2021,2022
Ene,93.604,98.795,103.103,106.447,110.21,118.002
Feb,94.145,99.171,103.079,106.889,110.907,0
Mar,94.722,99.492,103.476,106.838,111.824,0
Abr,94.839,99.155,103.531,105.755,112.19,0
May,94.725,98.994,103.233,106.162,112.419,0
Jun,94.964,99.376,103.299,106.743,113.018,0
Jul,95.323,99.909,103.687,107.444,113.682,0
Ago,95.794,100.492,103.67,107.867,113.899,0
Sep,96.094,100.917,103.942,108.114,114.601,0
Oct,96.698,101.44,104.503,108.774,115.561,0
Nov,97.695,102.303,105.346,108.856,116.884,0
Dic,98.273,103.02,105.934,109.271,117.308,0
