,2017,2018,2019,2020,2021,2022
Ene,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Feb,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Mar,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Abr,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
May,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Jun,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Jul,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Ago,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Sep,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Oct,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Nov,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
Dic,0.75%,0.98%,0.98%,0.98%,0.98%,0.98%
