Mes,Área A,Área B,Área C,ZLFN,Fecha de publicación en DOF
ene-18,88.36,0,0,0,21-dic-17
feb-18,88.36,0,0,0,21-dic-17
mar-18,88.36,0,0,0,21-dic-17
abr-18,88.36,0,0,0,21-dic-17
may-18,88.36,0,0,0,21-dic-17
jun-18,88.36,0,0,0,21-dic-17
jul-18,88.36,0,0,0,21-dic-17
ago-18,88.36,0,0,0,21-dic-17
sep-18,88.36,0,0,0,21-dic-17
oct-18,88.36,0,0,0,21-dic-17
nov-18,88.36,0,0,0,21-dic-17
dic-18,88.36,0,0,0,21-dic-17
ene-19,102.68,0,0,176.72,26-dic-18
feb-19,102.68,0,0,176.72,26-dic-18
mar-19,102.68,0,0,176.72,26-dic-18
abr-19,102.68,0,0,176.72,26-dic-18
may-19,102.68,0,0,176.72,26-dic-18
jun-19,102.68,0,0,176.72,26-dic-18
jul-19,102.68,0,0,176.72,26-dic-18
ago-19,102.68,0,0,176.72,26-dic-18
sep-19,102.68,0,0,176.72,26-dic-18
oct-19,102.68,0,0,176.72,26-dic-18
nov-19,102.68,0,0,176.72,26-dic-18
dic-19,102.68,0,0,176.72,26-dic-18
ene-20,123.22,0,0,185.56,23-dic-19
feb-20,123.22,0,0,185.56,23-dic-19
mar-20,123.22,0,0,185.56,23-dic-19
abr-20,123.22,0,0,185.56,23-dic-19
may-20,123.22,0,0,185.56,23-dic-19
jun-20,123.22,0,0,185.56,23-dic-19
jul-20,123.22,0,0,185.56,23-dic-19
ago-20,123.22,0,0,185.56,23-dic-19
sep-20,123.22,0,0,185.56,23-dic-19
oct-20,123.22,0,0,185.56,23-dic-19
nov-20,123.22,0,0,185.56,23-dic-19
dic-20,123.22,0,0,185.56,23-dic-19
ene-21,141.7,0,0,213.39,23-dic-20
feb-21,141.7,0,0,213.39,23-dic-20
mar-21,141.7,0,0,213.39,23-dic-20
abr-21,141.7,0,0,213.39,23-dic-20
may-21,141.7,0,0,213.39,23-dic-20
jun-21,141.7,0,0,213.39,23-dic-20
jul-21,141.7,0,0,213.39,23-dic-20
ago-21,141.7,0,0,213.39,23-dic-20
sep-21,141.7,0,0,213.39,23-dic-20
oct-21,141.7,0,0,213.39,23-dic-20
nov-21,141.7,0,0,213.39,23-dic-20
dic-21,141.7,0,0,213.39,23-dic-20
ene-22,172.87,0,0,260.34,08-dic-21
feb-22,172.87,0,0,260.34,08-dic-21
