Mes,Diario,Mensual,Anual,Fecha de Publicación en DOF
ene-16,73.04,"2,220.42","26,645.99",1/28/2016
feb-16,73.04,"2,220.42","26,645.99",1/28/2016
mar-16,73.04,"2,220.42","26,645.99",1/28/2016
abr-16,73.04,"2,220.42","26,645.99",1/28/2016
may-16,73.04,"2,220.42","26,645.99",1/28/2016
jun-16,73.04,"2,220.42","26,645.99",1/28/2016
jul-16,73.04,"2,220.42","26,645.99",1/28/2016
ago-16,73.04,"2,220.42","26,645.99",1/28/2016
sep-16,73.04,"2,220.42","26,645.99",1/28/2016
oct-16,73.04,"2,220.42","26,645.99",1/28/2016
nov-16,73.04,"2,220.42","26,645.99",1/28/2016
dic-16,73.04,"2,220.42","26,645.99",1/28/2016
ene-17,73.04,"2,220.42","26,645.99",1/28/2016
feb-17,75.49,"2,294.90","27,538.80",01/10/2017
mar-17,75.49,"2,294.90","27,538.80",01/10/2017
abr-17,75.49,"2,294.90","27,538.80",01/10/2017
may-17,75.49,"2,294.90","27,538.80",01/10/2017
jun-17,75.49,"2,294.90","27,538.80",01/10/2017
jul-17,75.49,"2,294.90","27,538.80",01/10/2017
ago-17,75.49,"2,294.90","27,538.80",01/10/2017
sep-17,75.49,"2,294.90","27,538.80",01/10/2017
oct-17,75.49,"2,294.90","27,538.80",01/10/2017
nov-17,75.49,"2,294.90","27,538.80",01/10/2017
dic-17,75.49,"2,294.90","27,538.80",01/10/2017
ene-18,75.49,"2,294.90","27,538.80",01/10/2017
feb-18,80.6,"2,450.24","29,402.88",01/10/2018
mar-18,80.6,"2,450.24","29,402.88",01/10/2018
abr-18,80.6,"2,450.24","29,402.88",01/10/2018
may-18,80.6,"2,450.24","29,402.88",01/10/2018
jun-18,80.6,"2,450.24","29,402.88",01/10/2018
jul-18,80.6,"2,450.24","29,402.88",01/10/2018
ago-18,80.6,"2,450.24","29,402.88",01/10/2018
sep-18,80.6,"2,450.24","29,402.88",01/10/2018
oct-18,80.6,"2,450.24","29,402.88",01/10/2018
nov-18,80.6,"2,450.24","29,402.88",01/10/2018
dic-18,80.6,"2,450.24","29,402.88",01/10/2018
ene-19,80.6,"2,450.24","29,402.88",01/10/2018
feb-19,84.49,"2,568.50","30,822",01/10/2019
mar-19,84.49,"2,568.50","30,822",01/10/2019
abr-19,84.49,"2,568.50","30,822",01/10/2019
may-19,84.49,"2,568.50","30,822",01/10/2019
jun-19,84.49,"2,568.50","30,822",01/10/2019
jul-19,84.49,"2,568.50","30,822",01/10/2019
ago-19,84.49,"2,568.50","30,822",01/10/2019
sep-19,84.49,"2,568.50","30,822",01/10/2019
oct-19,84.49,"2,568.50","30,822",01/10/2019
nov-19,84.49,"2,568.50","30,822",01/10/2019
dic-19,84.49,"2,568.50","30,822",01/10/2019
ene-20,84.49,"2,568.50","30,822",01/10/2019
feb-20,86.88,"2,641.15","31,693.80",01/10/2020
mar-20,86.88,"2,641.15","31,693.80",01/10/2020
abr-20,86.88,"2,641.15","31,693.80",01/10/2020
may-20,86.88,"2,641.15","31,693.80",01/10/2020
jun-20,86.88,"2,641.15","31,693.80",01/10/2020
jul-20,86.88,"2,641.15","31,693.80",01/10/2020
ago-20,86.88,"2,641.15","31,693.80",01/10/2020
sep-20,86.88,"2,641.15","31,693.80",01/10/2020
oct-20,86.88,"2,641.15","31,693.80",01/10/2020
nov-20,86.88,"2,641.15","31,693.80",01/10/2020
dic-20,86.88,"2,641.15","31,693.80",01/10/2020
ene-21,86.88,"2,641.15","31,693.80",01/10/2020
feb-21,89.62,"2,724.45","32,693.40",01/08/2021
mar-21,89.62,"2,724.45","32,693.40",01/08/2021
abr-21,89.62,"2,724.45","32,693.40",01/08/2021
may-21,89.62,"2,724.45","32,693.40",01/08/2021
jun-21,89.62,"2,724.45","32,693.40",01/08/2021
jul-21,89.62,"2,724.45","32,693.40",01/08/2021
ago-21,89.62,"2,724.45","32,693.40",01/08/2021
sep-21,89.62,"2,724.45","32,693.40",01/08/2021
oct-21,89.62,"2,724.45","32,693.40",01/08/2021
nov-21,89.62,"2,724.45","32,693.40",01/08/2021
dic-21,89.62,"2,724.45","32,693.40",01/08/2021
ene-22,89.62,"2,724.45","32,693.40",01/08/2021
feb-22,96.22,"2,925.09","35,101.08",01/10/2022
mar-22,96.22,"2,925.09","35,101.08",01/10/2022
abr-22,96.22,"2,925.09","35,101.08",01/10/2022
may-22,96.22,"2,925.09","35,101.08",01/10/2022
jun-22,96.22,"2,925.09","35,101.08",01/10/2022
jul-22,96.22,"2,925.09","35,101.08",01/10/2022
ago-22,96.22,"2,925.09","35,101.08",01/10/2022
sep-22,96.22,"2,925.09","35,101.08",01/10/2022
oct-22,96.22,"2,925.09","35,101.08",01/10/2022
nov-22,96.22,"2,925.09","35,101.08",01/10/2022
dic-22,96.22,"2,925.09","35,101.08",01/10/2022
