,2017,2018,2019,2020,2021,2022
Ene,242.839,247.86699999999999,251.71199999999999,257.971,261.58199999999999,281.14800000000002
Feb,243.60300000000001,248.99100000000001,252.77600000000001,258.678,263.01400000000001,0
Mar,243.80099999999999,249.554,254.202,258.11500000000001,264.87700000000001,0
Abr,244.524,250.54599999999999,255.548,256.38900000000001,267.05399999999997,0
May,244.733,251.58799999999999,256.09199999999998,256.39400000000001,269.19499999999999,0
Jun,244.95500000000001,251.989,256.14299999999997,257.79700000000003,271.69600000000003,0
Jul,244.786,252.006,256.57100000000003,259.101,273.00299999999999,0
Ago,245.51900000000001,252.14599999999999,256.55799999999999,259.91800000000001,273.56700000000001,0
Sep,246.81899999999999,252.43899999999999,256.75900000000001,260.27999999999997,274.31,0
Oct,246.66300000000001,252.88499999999999,257.346,260.38799999999998,276.589,0
Nov,246.66900000000001,252.03800000000001,257.20800000000003,260.22899999999998,277.94799999999998,0
Dic,246.524,251.233,256.97399999999999,260.47399999999999,278.80200000000002,0
